id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
18674;Huge flat for 8 people close to Sagrada Familia;71615;Mireia;Eixample;la Sagrada Família;4140556;217262;Entire home/apt;210;1;51;31/07/2025;34;26;80;7;ESFCTU000008058000039706000000000000000HUTB-002062349
23197;Forum CCIB DeLuxe, Spacious, Large Balcony, relax;90417;Etain (Marnie);Sant Martí;el Besòs i el Maresme;4,14E+15;2,22E+15;Entire home/apt;285;3;91;08/09/2025;52;1;289;12;ESFCTU000008106000547162000000000000000000HUTB0050572
32711;Sagrada Familia area - Còrsega 1;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;4140566;217015;Entire home/apt;170;1;152;08/08/2025;88;2;64;23;HUTB-001722
34241;Stylish Top Floor Apartment - Ramblas Plaza Real;73163;Andres;Ciutat Vella;el Barri Gòtic;4138062;217517;Entire home/apt;110;31;25;05/11/2024;14;3;333;5;Exempt
34981;VIDRE HOME PLAZA REAL on LAS RAMBLAS;73163;Andres;Ciutat Vella;el Barri Gòtic;4137978;217623;Entire home/apt;333;5;271;19/08/2025;149;3;335;23;ESFCTU000008119000093652000000000000000HUTB-001506712
36763;In front of the beach;158596;Ester;Ciutat Vella;la Barceloneta;4138043;219094;Private room;;31;108;13/12/2023;64;1;89;0;
40983;Soho Colonial Eclectic Apartment;177617;Joaquin;Eixample;la Dreta de l'Eixample;4139631;216832;Entire home/apt;204;2;402;14/09/2025;232;5;298;65;HUTB-001282
49968;Sagrada Familia area - Còrsega 2;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;414057;217016;Entire home/apt;170;1;139;04/09/2025;81;2;66;26;HUTB-001723
68547;Spacious 2 bedroom flat special offer 40% OFF;340570;Audun;Ciutat Vella;el Barri Gòtic;413806;217796;Entire home/apt;128;31;93;08/09/2024;53;2;302;0;
71520;Charming apartment with fantastic views!;366428;Ariadna;Gràcia;Vallcarca i els Penitents;4141841;213307;Entire home/apt;315;5;1;23/06/2011;1;1;268;0;HUTB-007966
71553;Best deals for penthouse near Sagrada Familia!;366654;Watermelon Barcelona Apartments;Eixample;la Dreta de l'Eixample;4139705;217469;Entire home/apt;199;2;84;17/02/2025;48;2;208;1;HUTB-002424
71736;Long term entire months more than 32 nitghts;368317;Nacharosa;Ciutat Vella;el Raval;4138174;216663;Entire home/apt;70;31;10;31/05/2024;6;8;350;0;
72436;Lugaris Beach Business Apartment;375625;Xavier;Sant Martí;el Poblenou;4139909;220733;Entire home/apt;272;1;1011;07/09/2025;750;6;254;176;HUTB-000173
75411;Sagrada Familia Clot Patio - Wifi/Private/Clean;400154;Mireia;Sant Martí;el Clot;4140682;218649;Entire home/apt;153;3;131;31/08/2025;79;10;72;21;ESFCTU00000807300091781600000000000000000HUTB-0000835
80004;Parc Montjuic HUTB-004026 58;431839;Xavier;Sants-Montjuïc;el Poble Sec;4137371;216706;Entire home/apt;126;5;205;01/09/2025;118;1;101;16;HUTB-004026
83283;?PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi;700165;Wonderful Barcelona;Eixample;Sant Antoni;4138237;216146;Private room;82;3;134;09/02/2025;76;4;6;3;
89776;Modernist aparment in the heart of the city;3556337;Alejandro;Eixample;la Dreta de l'Eixample;4139224;217806;Entire home/apt;180;1;421;04/08/2025;250;84;306;37;HUTB-002215
110041;002. Alió 2 Apartment;396363;Alcam Apartments;Gràcia;el Camp d'en Grassot i Gràcia Nova;4140271;216646;Entire home/apt;94;1;95;15/07/2025;59;85;292;27;ESFCTU000008057000631118000000000000000HUTB-003671797
112538;Design Apartment Sagrada Familia / Shared Terrace;567180;Sandra;Eixample;la Sagrada Família;4140653;21746;Entire home/apt;437;1;143;10/08/2025;82;6;92;15;HUTB-000333
128463;Safe Haven in Sants: Peaceful Retreat in Barcelona;635253;Sebastian;Sants-Montjuïc;Sants;4137155;213664;Entire home/apt;140;3;472;07/09/2025;276;1;317;39;ESFCTU00000806500059196700000000000000000HUTB-0126036
135513;Poble Nou Apartment a 3 minutos de la Playa;664196;Teresa;Sant Martí;el Poblenou;4139787;220429;Entire home/apt;175;1;195;13/09/2025;115;1;244;47;HUTb-005204
136670;double Room -UPC, ESADE, Barça, Real Club Tennis;610674;Maria;Les Corts;Pedralbes;4138832;212201;Private room;45;32;145;13/09/2025;85;3;292;9;
144471;?BEST ZONE?PL.CATALUÑA ?ROOM X 2?BATHROOM +WIFI;700165;Wonderful Barcelona;Eixample;Sant Antoni;4138189;215857;Private room;81;3;41;08/03/2023;24;4;6;0;
147275;1 Room INDIVIDUAL in Barcelona;711907;Antuan;Horta-Guinardó;el Guinardó;4142337;21749;Private room;17;31;135;02/09/2025;107;2;240;3;Exempt
171646;Sagrada Familia Clot Atico - Wifi/Private/Clean;400154;Mireia;Sant Martí;el Clot;4140671;218592;Entire home/apt;154;3;146;03/09/2025;97;10;63;31;ESFCTU00000807300091789200000000000000000HUTB-0046639
171816;Sagrada Familia Clot Vista - Wifi/Private/Clean;400154;Mireia;Sant Martí;el Clot;4140681;218553;Entire home/apt;154;3;99;29/08/2025;115;10;65;29;ESFCTU00000807300091788500000000000000000HUTB-0046648
174382;Classic Flat near Sagrada Familia / Shared terrace;567180;Sandra;Eixample;la Sagrada Família;4140653;217455;Entire home/apt;319;32;48;08/09/2025;40;6;34;12;HUTB000327
188267;Céntric, Balconies & City view- Feel Heart of BCN;366654;Watermelon Barcelona Apartments;Eixample;la Dreta de l'Eixample;4,14E+15;2,18E+15;Entire home/apt;339;2;136;06/09/2025;80;2;307;11;hutb-005119
190348;Apartment with large terrace;919480;Elisa;Les Corts;Pedralbes;4138893;212443;Private room;;7;1;09/06/2016;1;1;0;0;
196021;Large patio, 4 baths (3 en-suite), 19th c, central;953719;Julia;Eixample;l'Antiga Esquerra de l'Eixample;4138842;216108;Entire home/apt;463;2;486;07/09/2025;286;2;248;53;HUTB-005067
197267;Cozy Studio in Gracia Neighborhood;632830;M Angeles, Federico;Gràcia;la Vila de Gràcia;4140661;215115;Entire home/apt;41;31;364;29/08/2025;218;3;89;3;
198958;STUNNING sea view + pool Barcelona!;971768;Akira Flats;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4140805;221487;Entire home/apt;500;2;137;27/08/2025;84;10;57;13;ESFCTU00000807200054412100000000000000000HUTB-0009269
206122;Amazing Loft in BCN Center;1013855;Alejandro;Gràcia;la Vila de Gràcia;4139877;215887;Entire home/apt;191;4;321;17/08/2025;191;3;260;46;ESFCTU00000806600003878000000000000000000HUTB-0043159
206167;Bright, comfy, central and with character;1014050;Minerva;Sants-Montjuïc;el Poble Sec;413724;21648;Entire home/apt;156;3;181;31/08/2025;107;1;27;16;HUTB-009804
209673;Sweet Apartment in Gràcia district!;1033366;Elena;Gràcia;la Vila de Gràcia;41398;21553;Entire home/apt;129;2;374;07/08/2025;242;1;220;10;ESFCTU00000806600040818700000000000000000HUTB-0109321
223096;2BR Apartment, loft style with patio;874133;Barbara;Sants-Montjuïc;Sants;4137364;213906;Entire home/apt;;30;61;02/10/2023;37;1;0;0;Exempt
234375;ATTIC VIEWS  (Sagrada Familia);1227290;Francesca;Eixample;el Fort Pienc;4,14E+15;2,17E+16;Entire home/apt;236;7;136;28/08/2025;135;1;219;30;HUTB-003754
